date,forecast_day,predicted_crime_count,model,selected_model,model_group
2022-02-13,1,525,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-02-14,2,531,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-02-15,3,535,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-02-16,4,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-02-17,5,533,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-02-18,6,531,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-02-19,7,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-02-20,8,531,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-02-21,9,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-02-22,10,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-02-23,11,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-02-24,12,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-02-25,13,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-02-26,14,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-02-27,15,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-02-28,16,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-03-01,17,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-03-02,18,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-03-03,19,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-03-04,20,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-03-05,21,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-03-06,22,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-03-07,23,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-03-08,24,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-03-09,25,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-03-10,26,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-03-11,27,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-03-12,28,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-03-13,29,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
2022-03-14,30,532,Baseline Rolling 7-Day Iterative Forecast,Rolling Mean 7 Days,Baseline
