date,primary_type,crime_count
2001-01-01,ASSAULT,70
2001-01-01,BATTERY,296
2001-01-01,BURGLARY,66
2001-01-01,CRIMINAL DAMAGE,233
2001-01-01,CRIMINAL TRESPASS,29
2001-01-01,DECEPTIVE PRACTICE,92
2001-01-01,MOTOR VEHICLE THEFT,60
2001-01-01,NARCOTICS,97
2001-01-01,OFFENSE INVOLVING CHILDREN,98
2001-01-01,OTHER OFFENSE,167
2001-01-01,PROSTITUTION,5
2001-01-01,PUBLIC PEACE VIOLATION,5
2001-01-01,ROBBERY,41
2001-01-01,THEFT,412
2001-01-01,WEAPONS VIOLATION,32
2001-01-02,ASSAULT,66
2001-01-02,BATTERY,143
2001-01-02,BURGLARY,68
2001-01-02,CRIMINAL DAMAGE,118
2001-01-02,CRIMINAL TRESPASS,35
2001-01-02,DECEPTIVE PRACTICE,78
2001-01-02,MOTOR VEHICLE THEFT,65
2001-01-02,NARCOTICS,175
2001-01-02,OFFENSE INVOLVING CHILDREN,4
2001-01-02,OTHER OFFENSE,101
2001-01-02,PROSTITUTION,11
2001-01-02,PUBLIC PEACE VIOLATION,2
2001-01-02,ROBBERY,35
2001-01-02,THEFT,221
2001-01-02,WEAPONS VIOLATION,9
2001-01-03,ASSAULT,79
2001-01-03,BATTERY,165
2001-01-03,BURGLARY,57
2001-01-03,CRIMINAL DAMAGE,136
2001-01-03,CRIMINAL TRESPASS,35
2001-01-03,DECEPTIVE PRACTICE,49
2001-01-03,MOTOR VEHICLE THEFT,72
2001-01-03,NARCOTICS,133
2001-01-03,OFFENSE INVOLVING CHILDREN,3
2001-01-03,OTHER OFFENSE,96
2001-01-03,PROSTITUTION,16
2001-01-03,PUBLIC PEACE VIOLATION,7
2001-01-03,ROBBERY,51
2001-01-03,THEFT,226
2001-01-03,WEAPONS VIOLATION,7
2001-01-04,ASSAULT,57
2001-01-04,BATTERY,173
2001-01-04,BURGLARY,55
2001-01-04,CRIMINAL DAMAGE,133
2001-01-04,CRIMINAL TRESPASS,29
2001-01-04,DECEPTIVE PRACTICE,42
2001-01-04,MOTOR VEHICLE THEFT,87
2001-01-04,NARCOTICS,142
2001-01-04,OFFENSE INVOLVING CHILDREN,5
2001-01-04,OTHER OFFENSE,96
2001-01-04,PROSTITUTION,19
2001-01-04,PUBLIC PEACE VIOLATION,3
2001-01-04,ROBBERY,55
2001-01-04,THEFT,243
2001-01-04,WEAPONS VIOLATION,9
2001-01-05,ASSAULT,68
2001-01-05,BATTERY,178
2001-01-05,BURGLARY,55
