date,district,crime_count
2001-01-01,1,38
2001-01-01,2,110
2001-01-01,3,103
2001-01-01,4,97
2001-01-01,5,95
2001-01-01,6,84
2001-01-01,7,83
2001-01-01,8,112
2001-01-01,9,110
2001-01-01,10,104
2001-01-01,11,90
2001-01-01,12,81
2001-01-01,14,83
2001-01-01,15,71
2001-01-01,16,67
2001-01-01,17,67
2001-01-01,18,71
2001-01-01,19,72
2001-01-01,20,40
2001-01-01,22,62
2001-01-01,24,59
2001-01-01,25,122
2001-01-02,1,44
2001-01-02,2,93
2001-01-02,3,57
2001-01-02,4,49
2001-01-02,5,42
2001-01-02,6,62
2001-01-02,7,64
2001-01-02,8,69
2001-01-02,9,55
2001-01-02,10,49
2001-01-02,11,64
2001-01-02,12,60
2001-01-02,14,52
2001-01-02,15,58
2001-01-02,16,40
2001-01-02,17,21
2001-01-02,18,54
2001-01-02,19,54
2001-01-02,20,27
2001-01-02,22,35
2001-01-02,24,44
2001-01-02,25,50
2001-01-03,1,44
2001-01-03,2,89
2001-01-03,3,57
2001-01-03,4,49
2001-01-03,5,39
2001-01-03,6,48
2001-01-03,7,56
2001-01-03,8,73
2001-01-03,9,54
2001-01-03,10,46
2001-01-03,11,64
2001-01-03,12,59
2001-01-03,14,51
2001-01-03,15,68
2001-01-03,16,48
2001-01-03,17,40
2001-01-03,18,46
2001-01-03,19,50
2001-01-03,20,20
2001-01-03,22,37
2001-01-03,24,46
2001-01-03,25,67
2001-01-04,1,41
2001-01-04,2,87
2001-01-04,3,45
2001-01-04,4,73
2001-01-04,5,51
2001-01-04,6,85
2001-01-04,7,52
2001-01-04,8,78
2001-01-04,9,47
2001-01-04,10,43
2001-01-04,11,62
2001-01-04,12,68
2001-01-04,14,53
2001-01-04,15,45
2001-01-04,16,42
2001-01-04,17,36
2001-01-04,18,54
2001-01-04,19,46
2001-01-04,20,14
2001-01-04,22,46
2001-01-04,24,41
2001-01-04,25,57
2001-01-05,1,67
2001-01-05,2,99
2001-01-05,3,62
2001-01-05,4,56
2001-01-05,5,48
2001-01-05,6,65
2001-01-05,7,67
2001-01-05,8,81
2001-01-05,9,55
2001-01-05,10,45
2001-01-05,11,70
2001-01-05,12,68
2001-01-05,14,59
2001-01-05,15,68
2001-01-05,16,49
2001-01-05,17,34
2001-01-05,18,56
2001-01-05,19,48
2001-01-05,20,25
2001-01-05,22,39
2001-01-05,24,45
2001-01-05,25,61
2001-01-06,1,27
2001-01-06,2,96
2001-01-06,3,60
2001-01-06,4,76
2001-01-06,5,52
2001-01-06,6,59
2001-01-06,7,65
2001-01-06,8,84
2001-01-06,9,63
2001-01-06,10,52
2001-01-06,11,69
2001-01-06,12,77
2001-01-06,14,79
2001-01-06,15,62
2001-01-06,16,36
2001-01-06,17,36
2001-01-06,18,58
2001-01-06,19,63
2001-01-06,20,35
2001-01-06,22,29
2001-01-06,24,34
2001-01-06,25,78
2001-01-07,1,20
2001-01-07,2,105
2001-01-07,3,48
2001-01-07,4,51
2001-01-07,5,39
2001-01-07,6,44
2001-01-07,7,52
2001-01-07,8,66
2001-01-07,9,51
2001-01-07,10,46
2001-01-07,11,48
2001-01-07,12,72
2001-01-07,14,60
2001-01-07,15,56
2001-01-07,16,30
2001-01-07,17,39
2001-01-07,18,48
2001-01-07,19,48
2001-01-07,20,31
2001-01-07,22,27
2001-01-07,24,54
2001-01-07,25,70
2001-01-08,1,54
2001-01-08,2,105
2001-01-08,3,52
2001-01-08,4,66
2001-01-08,5,40
2001-01-08,6,63
2001-01-08,7,50
2001-01-08,8,66
2001-01-08,9,53
2001-01-08,10,36
2001-01-08,11,58
2001-01-08,12,64
2001-01-08,14,50
2001-01-08,15,43
2001-01-08,16,43
2001-01-08,17,39
2001-01-08,18,58
2001-01-08,19,54
2001-01-08,20,40
2001-01-08,22,32
2001-01-08,24,34
2001-01-08,25,57
2001-01-09,1,61
2001-01-09,2,101
2001-01-09,3,51
2001-01-09,4,52
2001-01-09,5,47
