district,primary_type,day_name,hour_label,crime_count,share_of_group_percent,risk_percent_vs_group_avg,risk_level
2,PROSTITUTION,Tuesday,20:00,184,4.68,676.21,Very High
7,PROSTITUTION,Tuesday,20:00,210,4.69,674.47,Very High
4,PROSTITUTION,Tuesday,20:00,83,5.05,658.22,Very High
11,PROSTITUTION,Tuesday,20:00,462,4.21,608.05,Very High
24,PROSTITUTION,Wednesday,23:00,58,4.62,564.97,Very High
9,OFFENSE INVOLVING CHILDREN,Thursday,00:00,120,3.93,551.83,Very High
10,OFFENSE INVOLVING CHILDREN,Thursday,00:00,102,3.92,550.98,Very High
7,PROSTITUTION,Wednesday,20:00,171,3.82,530.64,Very High
17,OFFENSE INVOLVING CHILDREN,Monday,00:00,61,3.89,530.63,Very High
15,PROSTITUTION,Wednesday,20:00,108,3.81,524.98,Very High
10,PROSTITUTION,Thursday,20:00,98,3.9,520.3,Very High
10,OFFENSE INVOLVING CHILDREN,Sunday,00:00,97,3.73,519.07,Very High
5,PROSTITUTION,Thursday,21:00,102,3.68,510.82,Very High
10,PROSTITUTION,Friday,21:00,96,3.82,507.64,Very High
12,PROSTITUTION,Tuesday,20:00,142,3.52,487.71,Very High
10,OFFENSE INVOLVING CHILDREN,Tuesday,00:00,92,3.54,487.16,Very High
15,PROSTITUTION,Tuesday,20:00,101,3.56,484.47,Very High
11,PROSTITUTION,Wednesday,20:00,380,3.47,482.38,Very High
9,OFFENSE INVOLVING CHILDREN,Monday,00:00,107,3.5,481.22,Very High
10,OFFENSE INVOLVING CHILDREN,Monday,00:00,91,3.5,480.78,Very High
10,OFFENSE INVOLVING CHILDREN,Saturday,00:00,90,3.46,474.39,Very High
17,OFFENSE INVOLVING CHILDREN,Wednesday,00:00,55,3.51,468.6,Very High
8,OFFENSE INVOLVING CHILDREN,Tuesday,00:00,149,3.38,465.01,Very High
5,PROSTITUTION,Thursday,22:00,93,3.35,456.93,Very High
12,PROSTITUTION,Thursday,20:00,134,3.32,454.6,Very High
9,OFFENSE INVOLVING CHILDREN,Tuesday,00:00,102,3.34,454.06,Very High
9,OFFENSE INVOLVING CHILDREN,Wednesday,00:00,102,3.34,454.06,Very High
6,PROSTITUTION,Friday,23:00,62,3.64,453.05,Very High
10,PROSTITUTION,Tuesday,20:00,87,3.46,450.68,Very High
